EmployeeID,Age,Gender,Department,JobRole,EducationField,MaritalStatus,BusinessTravel,Education,JobLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
122,33,Male,Sales,Sales Executive,Marketing,Married,Non-Travel,2,2,7,7,0,7
123,56,Female,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,4,1,5,4,4,3
124,51,Male,Research & Development,Research Director,Life Sciences,Single,Travel_Rarely,3,5,20,18,15,15
125,31,Male,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,4,2,7,7,7,7
126,26,Female,Research & Development,Research Scientist,Other,Married,Travel_Rarely,3,1,5,4,4,3
127,58,Female,Research & Development,Healthcare Representative,Medical,Married,Travel_Rarely,4,3,40,10,15,6
128,19,Male,Sales,Sales Representative,Marketing,Single,Travel_Rarely,1,1,0,0,0,0
129,22,Male,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,1,1,2,1,2,1
130,49,Female,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,4,2,15,11,5,11
131,43,Female,Research & Development,Research Scientist,Medical,Single,Travel_Frequently,3,1,3,2,1,2
132,50,Female,Sales,Sales Executive,Marketing,Single,Travel_Frequently,3,3,2,2,2,1
133,31,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,3,2,2,2,2,2
134,41,Male,Sales,Sales Executive,Life Sciences,Divorced,Travel_Rarely,1,3,9,7,0,7
135,26,Female,Human Resources,Human Resources,Life Sciences,Married,Travel_Rarely,1,1,8,7,5,7
136,36,Male,Research & Development,Manufacturing Director,Medical,Divorced,Travel_Rarely,2,2,3,2,0,1
137,51,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Frequently,4,3,4,2,0,3
138,39,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,4,2,15,11,5,9
139,25,Male,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,3,2,2,2,2,2
140,30,Male,Human Resources,Human Resources,Human Resources,Married,Travel_Rarely,3,2,11,9,4,7
141,32,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,3,1,5,4,0,4
142,45,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,3,1,6,5,0,3
143,38,Female,Research & Development,Research Scientist,Technical Degree,Single,Travel_Rarely,5,2,3,2,2,2
144,30,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,3,1,5,4,0,4
145,32,Male,Sales,Sales Executive,Medical,Divorced,Travel_Frequently,2,2,8,7,0,7
146,30,Female,Research & Development,Research Scientist,Technical Degree,Divorced,Travel_Rarely,3,1,3,2,2,2
147,30,Male,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,1,1,5,3,1,2
148,41,Male,Research & Development,Manager,Life Sciences,Divorced,Travel_Frequently,3,4,7,6,7,7
149,41,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,4,1,5,0,1,4
150,19,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,1,1,1,0,0,0
151,40,Female,Research & Development,Research Scientist,Medical,Divorced,Travel_Frequently,3,2,20,7,2,13
152,35,Male,Sales,Sales Executive,Marketing,Married,Travel_Rarely,5,3,10,8,0,6
153,53,Male,Sales,Sales Representative,Marketing,Married,Travel_Rarely,2,2,7,7,4,5
154,45,Male,Research & Development,Laboratory Technician,Life Sciences,Divorced,Travel_Rarely,3,2,17,9,0,15
155,32,Female,Sales,Sales Executive,Marketing,Single,Travel_Frequently,3,3,9,8,3,7
156,29,Male,Research & Development,Manufacturing Director,Technical Degree,Married,Non-Travel,1,2,10,7,0,9
157,51,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,4,2,1,0,0,0
158,58,Female,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,3,1,1,0,0,0
159,40,Male,Sales,Sales Executive,Marketing,Married,Travel_Rarely,4,3,12,11,2,11
160,34,Female,Sales,Sales Representative,Marketing,Married,Travel_Frequently,4,1,4,3,1,2
161,22,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,1,1,2,2,2,2
162,27,Male,Research & Development,Research Scientist,Medical,Divorced,Non-Travel,3,1,2,2,2,2
163,28,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,3,1,5,2,0,2
164,57,Male,Research & Development,Healthcare Representative,Life Sciences,Divorced,Travel_Rarely,2,3,5,3,1,4
165,27,Male,Research & Development,Research Scientist,Medical,Divorced,Non-Travel,3,1,1,1,0,1
166,50,Female,Research & Development,Manager,Life Sciences,Single,Travel_Rarely,3,5,5,4,4,4
167,41,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,3,1,9,8,1,8
168,30,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,3,3,10,9,7,4
169,38,Female,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,4,2,8,3,0,7
170,32,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,5,1,5,4,1,4
171,27,Male,Research & Development,Research Scientist,Technical Degree,Married,Travel_Rarely,3,1,5,2,1,1
172,19,Female,Sales,Sales Representative,Technical Degree,Single,Travel_Frequently,1,1,0,0,0,0
173,36,Male,Research & Development,Laboratory Technician,Medical,Single,Travel_Frequently,2,1,8,7,7,2
174,30,Male,Research & Development,Laboratory Technician,Medical,Divorced,Non-Travel,3,2,12,9,6,10
175,45,Female,Sales,Sales Executive,Life Sciences,Divorced,Travel_Rarely,2,2,5,4,0,3
176,56,Female,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,3,1,2,2,2,2
177,33,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,3,1,3,1,0,2
178,19,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,3,1,1,0,1,0
179,46,Female,Sales,Sales Executive,Marketing,Divorced,Travel_Rarely,2,3,24,13,15,7
180,38,Female,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,2,1,2,2,2,1
181,31,Female,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,1,1,4,2,0,2
182,34,Female,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,2,1,3,2,1,2
183,41,Female,Sales,Sales Representative,Marketing,Single,Travel_Rarely,2,1,4,3,0,2
184,50,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,3,1,3,2,0,2
185,53,Female,Research & Development,Manufacturing Director,Medical,Divorced,Travel_Rarely,2,2,4,2,1,3
186,33,Female,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,3,1,8,7,1,6
187,40,Female,Research & Development,Manager,Medical,Married,Travel_Rarely,1,5,20,8,9,9
188,55,Male,Research & Development,Research Director,Medical,Single,Travel_Rarely,4,5,24,15,2,15
189,34,Male,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Frequently,1,2,10,9,1,9
190,51,Female,Research & Development,Healthcare Representative,Medical,Single,Travel_Rarely,3,4,7,7,1,0
191,52,Male,Research & Development,Manager,Life Sciences,Married,Travel_Rarely,4,5,33,18,11,9
192,27,Female,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,3,1,7,7,0,3
193,35,Male,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,2,2,1,0,0,1
194,43,Male,Research & Development,Research Scientist,Medical,Divorced,Non-Travel,3,1,5,4,2,2
195,45,Male,Research & Development,Manager,Medical,Married,Non-Travel,2,4,20,8,11,8
196,37,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,3,1,8,7,1,7
197,35,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Frequently,3,2,6,2,1,2
198,42,Female,Research & Development,Manufacturing Director,Medical,Divorced,Non-Travel,2,2,5,3,0,2
199,38,Male,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,4,2,1,0,0,0
200,38,Male,Research & Development,Manufacturing Director,Technical Degree,Married,Travel_Rarely,3,2,7,7,1,7
201,27,Male,Research & Development,Manufacturing Director,Technical Degree,Married,Travel_Frequently,1,2,2,2,2,0
202,49,Male,Research & Development,Manufacturing Director,Life Sciences,Divorced,Non-Travel,4,2,7,7,1,7
203,34,Male,Research & Development,Research Scientist,Medical,Divorced,Travel_Frequently,4,1,5,3,2,0
204,40,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,2,2,7,2,3,7
205,38,Male,Research & Development,Healthcare Representative,Medical,Married,Travel_Rarely,1,2,1,0,0,0
206,29,Female,Sales,Sales Executive,Marketing,Married,Travel_Rarely,3,3,10,4,1,9
207,22,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,3,1,4,2,2,2
208,36,Female,Research & Development,Laboratory Technician,Medical,Single,Travel_Frequently,1,1,8,1,1,7
209,40,Male,Research & Development,Healthcare Representative,Life Sciences,Married,Non-Travel,5,2,3,2,0,2
210,46,Male,Research & Development,Healthcare Representative,Medical,Divorced,Travel_Rarely,4,3,4,2,0,3
211,32,Male,Sales,Sales Executive,Medical,Married,Travel_Rarely,4,3,14,8,9,8
212,30,Male,Research & Development,Manufacturing Director,Life Sciences,Single,Non-Travel,1,3,11,8,5,8
213,27,Female,Sales,Sales Executive,Life Sciences,Single,Travel_Frequently,3,2,7,7,0,7
214,51,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Rarely,4,3,10,9,4,7
215,30,Female,Research & Development,Research Scientist,Technical Degree,Single,Travel_Rarely,3,1,5,2,0,4
216,41,Female,Sales,Manager,Life Sciences,Single,Travel_Rarely,3,3,1,0,0,0
217,30,Female,Sales,Sales Executive,Marketing,Single,Travel_Frequently,4,2,6,3,0,1
218,29,Male,Research & Development,Research Scientist,Technical Degree,Single,Travel_Rarely,3,1,6,2,1,5
219,45,Female,Sales,Sales Executive,Medical,Single,Non-Travel,3,3,19,7,12,8
220,54,Female,Sales,Sales Executive,Marketing,Married,Travel_Rarely,3,2,6,2,0,5
221,36,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,2,2,13,11,3,7
222,33,Female,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,4,1,3,2,1,1
223,37,Male,Research & Development,Research Director,Other,Divorced,Travel_Frequently,3,3,10,8,0,7
224,38,Male,Sales,Sales Executive,Life Sciences,Divorced,Travel_Rarely,3,3,16,10,5,13
225,31,Male,Research & Development,Manufacturing Director,Medical,Married,Non-Travel,4,2,5,4,1,4
226,59,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,3,1,1,0,0,0
227,37,Male,Sales,Sales Representative,Marketing,Divorced,Travel_Frequently,4,1,9,8,5,8
228,29,Female,Sales,Sales Executive,Medical,Married,Travel_Frequently,1,3,11,10,4,1
229,35,Female,Sales,Sales Executive,Marketing,Single,Travel_Frequently,3,3,10,7,0,8
230,29,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,1,1,4,3,0,1
231,52,Female,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,3,1,2,2,2,2
232,42,Male,Research & Development,Manager,Technical Degree,Married,Travel_Rarely,2,5,22,17,11,15
233,59,Male,Human Resources,Human Resources,Medical,Married,Travel_Rarely,2,1,2,2,2,2
234,50,Female,Sales,Manager,Medical,Divorced,Travel_Rarely,4,5,7,0,0,6
235,33,Male,Research & Development,Laboratory Technician,Medical,Married,Travel_Rarely,3,1,5,4,0,4
236,43,Female,Sales,Manager,Marketing,Married,Travel_Rarely,3,4,17,13,1,9
237,33,Female,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,2,1,9,7,1,7
238,52,Male,Sales,Manager,Life Sciences,Single,Non-Travel,4,5,33,7,15,12
239,32,Female,Sales,Sales Representative,Life Sciences,Married,Travel_Rarely,2,1,4,3,1,2
240,32,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,3,1,3,2,1,2
241,39,Female,Research & Development,Laboratory Technician,Medical,Divorced,Travel_Rarely,4,1,3,2,1,2
242,32,Male,Sales,Sales Executive,Marketing,Married,Non-Travel,4,2,3,2,2,2
243,41,Male,Research & Development,Research Scientist,Life Sciences,Divorced,Travel_Rarely,2,2,1,0,0,0
244,40,Male,Research & Development,Research Scientist,Technical Degree,Divorced,Travel_Rarely,2,2,9,8,4,7
245,45,Male,Research & Development,Manager,Other,Married,Travel_Rarely,3,5,24,0,1,7
246,31,Male,Research & Development,Research Director,Medical,Divorced,Travel_Frequently,4,3,2,2,2,2
247,33,Female,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,4,1,2,2,0,2
248,34,Male,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,4,2,11,9,5,9
249,37,Female,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,2,1,3,1,0,2
250,45,Male,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Frequently,4,2,3,2,0,2
251,37,Male,Research & Development,Manufacturing Director,Medical,Divorced,Travel_Frequently,3,3,1,0,0,0
252,39,Female,Research & Development,Healthcare Representative,Technical Degree,Single,Travel_Frequently,4,3,19,6,11,8
253,29,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,3,1,6,5,1,5
254,42,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,2,2,3,2,0,2
255,29,Male,Sales,Sales Executive,Marketing,Divorced,Travel_Rarely,2,2,3,2,0,2
256,25,Female,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,3,2,4,2,1,2
257,42,Female,Research & Development,Laboratory Technician,Medical,Divorced,Travel_Rarely,3,1,9,6,7,8
258,40,Male,Research & Development,Research Director,Medical,Divorced,Travel_Rarely,2,5,21,7,3,9
259,51,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,3,1,1,0,0,0
260,31,Male,Research & Development,Laboratory Technician,Medical,Single,Travel_Frequently,2,1,5,4,1,4
261,32,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Frequently,3,1,5,1,0,3
262,38,Male,Sales,Sales Executive,Life Sciences,Married,Non-Travel,2,2,8,7,7,5
263,32,Male,Research & Development,Laboratory Technician,Technical Degree,Single,Travel_Rarely,1,2,6,2,0,4
264,46,Female,Sales,Manager,Technical Degree,Married,Travel_Rarely,3,4,7,7,7,7
265,28,Male,Research & Development,Laboratory Technician,Life Sciences,Single,Travel_Rarely,4,1,0,0,0,0
266,29,Male,Sales,Sales Executive,Medical,Married,Travel_Rarely,3,2,0,0,0,0
267,31,Male,Research & Development,Healthcare Representative,Medical,Married,Travel_Rarely,3,2,9,0,7,8
268,25,Male,Research & Development,Healthcare Representative,Life Sciences,Divorced,Non-Travel,2,2,6,3,1,5
269,45,Male,Research & Development,Healthcare Representative,Medical,Married,Travel_Rarely,2,4,20,7,4,10
270,36,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,3,1,15,13,10,11
271,55,Male,Research & Development,Manager,Medical,Single,Travel_Rarely,3,5,36,10,4,13
272,47,Male,Research & Development,Manager,Life Sciences,Married,Non-Travel,4,3,10,7,9,9
273,28,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,3,1,5,2,0,4
274,37,Male,Sales,Sales Executive,Medical,Married,Travel_Rarely,4,2,5,4,0,1
275,21,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,2,1,3,2,1,0
276,37,Female,Research & Development,Research Director,Medical,Divorced,Non-Travel,4,3,5,2,0,2
277,35,Female,Research & Development,Manager,Life Sciences,Divorced,Travel_Rarely,3,3,7,7,6,2
